tokenId,name,frequency,modeN,modeM,nodeDensityBps,lineThicknessBps,rarityTier,rarityName,family,patternName,backgroundGradient,frequencyBand,symmetryType,nodeArchitecture,waveDistortion,harmonicLayerCount,hashratePreview,image,animation_url
1,Chladni Node #1,570,5,7,1319,113,0,Common,Bridge Mesh,Orbital Bridge Bridge Mesh,Obsidian Gold,Upper Harmonic,Bridge Symmetry,Mesh Node,Harmonic Bend,4,8373,ipfs://CLASSIC_IMAGE_CID/1.svg,
2,Chladni Node #2,550,5,6,1190,117,2,Rare,Mirror Mesh,Orbital Mirror Mirror Mesh,Lilac Echo,Upper Harmonic,Near Mirror,Branch Node,Signal Warp,4,10697,ipfs://CLASSIC_IMAGE_CID/2.svg,
3,Chladni Node #3,933,7,8,1625,92,0,Common,Dense Net,Dense Mirror Dense Net,Obsidian Gold,Dense Signal,Near Mirror,Lattice Node,Signal Warp,4,10919,ipfs://CLASSIC_IMAGE_CID/3.svg,
4,Chladni Node #4,836,6,8,1512,98,1,Uncommon,Diamond Grid,Dense Bridge Diamond Grid,Sacred Mesh,High Signal,Bridge Symmetry,Mesh Node,Soft Phase,4,11433,ipfs://CLASSIC_IMAGE_CID/4.svg,
5,Chladni Node #5,695,5,7,1284,105,2,Rare,Circle Lattice,Signal Bridge Circle Lattice,Sacred Mesh,Upper Harmonic,Bridge Symmetry,Mesh Node,Low Drift,4,11545,ipfs://CLASSIC_IMAGE_CID/5.svg,
6,Chladni Node #6,340,4,6,1101,127,4,Legendary,Petal Grid,Resonant Bridge Petal Grid,Solar Ember,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,14294,ipfs://CLASSIC_IMAGE_CID/6.svg,
7,Chladni Node #7,661,5,7,1255,108,2,Rare,Bridge Mesh,Signal Bridge Bridge Mesh,Emerald Field,Upper Harmonic,Bridge Symmetry,Mesh Node,Signal Warp,4,11300,ipfs://CLASSIC_IMAGE_CID/7.svg,
8,Chladni Node #8,396,4,6,1080,124,3,Epic,Petal Grid,Resonant Bridge Petal Grid,Pearl Sand,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,11282,ipfs://CLASSIC_IMAGE_CID/8.svg,
9,Chladni Node #9,733,6,7,1434,105,3,Epic,Circle Lattice,Signal Mirror Circle Lattice,Electric Wine,High Signal,Near Mirror,Mesh Node,Soft Phase,4,15694,ipfs://CLASSIC_IMAGE_CID/9.svg,
10,Chladni Node #10,997,7,8,1689,90,3,Epic,Dense Net,Dense Mirror Dense Net,Desert Bloom,Dense Signal,Near Mirror,Lattice Node,Signal Warp,4,18491,ipfs://CLASSIC_IMAGE_CID/10.svg,
11,Chladni Node #11,481,5,6,1229,120,2,Rare,Loop Lattice,Orbital Mirror Loop Lattice,Amber Dune,Mid Resonance,Near Mirror,Branch Node,Prism Distortion,4,10593,ipfs://CLASSIC_IMAGE_CID/11.svg,
12,Chladni Node #12,311,4,5,1033,131,0,Common,Petal Grid,Resonant Mirror Petal Grid,Sacred Mesh,Lower Mid Field,Near Mirror,Branch Node,Signal Warp,3,6481,ipfs://CLASSIC_IMAGE_CID/12.svg,
13,Chladni Node #13,162,3,4,921,136,2,Rare,Bass Cross,Central Mirror Bass Cross,Blue Ash,Low Harmonic,Near Mirror,Open Node,Soft Phase,3,7202,ipfs://CLASSIC_IMAGE_CID/13.svg,
14,Chladni Node #14,848,6,8,1533,97,5,Mythic,Diamond Grid,Dense Bridge Diamond Grid,Cyan Relic,High Signal,Bridge Symmetry,Mesh Node,Soft Phase,4,28288,ipfs://CLASSIC_IMAGE_CID/14.svg,
15,Chladni Node #15,144,3,4,893,140,1,Uncommon,Bass Cross,Central Mirror Bass Cross,Cerulean Archive,Low Harmonic,Near Mirror,Open Node,Soft Phase,3,6047,ipfs://CLASSIC_IMAGE_CID/15.svg,
16,Chladni Node #16,177,3,4,882,139,1,Uncommon,Bass Cross,Central Mirror Bass Cross,Obsidian Gold,Low Harmonic,Near Mirror,Open Node,Signal Warp,3,6122,ipfs://CLASSIC_IMAGE_CID/16.svg,
17,Chladni Node #17,290,4,5,1006,130,5,Mythic,Petal Grid,Resonant Mirror Petal Grid,Aurora Mint,Lower Mid Field,Near Mirror,Branch Node,Soft Phase,3,17914,ipfs://CLASSIC_IMAGE_CID/17.svg,
18,Chladni Node #18,129,2,3,775,139,1,Uncommon,Bass Cross,Central Mirror Bass Cross,Blue Ash,Low Harmonic,Near Mirror,Open Node,Low Drift,2,5247,ipfs://CLASSIC_IMAGE_CID/18.svg,
19,Chladni Node #19,429,4,6,1130,125,1,Uncommon,Loop Lattice,Orbital Bridge Loop Lattice,Desert Bloom,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,8153,ipfs://CLASSIC_IMAGE_CID/19.svg,
20,Chladni Node #20,284,4,5,1000,131,5,Mythic,Petal Grid,Resonant Mirror Petal Grid,Rose Signal,Lower Mid Field,Near Mirror,Branch Node,Prism Distortion,3,17589,ipfs://CLASSIC_IMAGE_CID/20.svg,
21,Chladni Node #21,729,6,7,1391,103,5,Mythic,Circle Lattice,Signal Mirror Circle Lattice,Aurora Mint,High Signal,Near Mirror,Mesh Node,Signal Warp,4,26261,ipfs://CLASSIC_IMAGE_CID/21.svg,
22,Chladni Node #22,415,4,6,1113,123,4,Legendary,Loop Lattice,Resonant Bridge Loop Lattice,Crimson Veil,Mid Resonance,Bridge Symmetry,Branch Node,Soft Phase,3,14773,ipfs://CLASSIC_IMAGE_CID/22.svg,
23,Chladni Node #23,343,4,6,1098,128,0,Common,Petal Grid,Resonant Bridge Petal Grid,Solar Ember,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,6800,ipfs://CLASSIC_IMAGE_CID/23.svg,
24,Chladni Node #24,66,1,2,724,142,1,Uncommon,Low Ring,Deep Mirror Low Ring,Desert Bloom,Sub Resonance,Near Mirror,Low Ring,Signal Warp,2,4549,ipfs://CLASSIC_IMAGE_CID/24.svg,
25,Chladni Node #25,352,4,6,1086,125,4,Legendary,Petal Grid,Resonant Bridge Petal Grid,Solar Ember,Mid Resonance,Bridge Symmetry,Branch Node,Low Drift,3,14191,ipfs://CLASSIC_IMAGE_CID/25.svg,
26,Chladni Node #26,713,6,7,1426,106,0,Common,Circle Lattice,Signal Mirror Circle Lattice,Blue Ash,Upper Harmonic,Near Mirror,Mesh Node,Low Drift,4,9390,ipfs://CLASSIC_IMAGE_CID/26.svg,
27,Chladni Node #27,404,4,6,1095,124,1,Uncommon,Loop Lattice,Resonant Bridge Loop Lattice,Lilac Echo,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,8030,ipfs://CLASSIC_IMAGE_CID/27.svg,
28,Chladni Node #28,670,5,7,1314,106,0,Common,Bridge Mesh,Signal Bridge Bridge Mesh,Cyan Relic,Upper Harmonic,Bridge Symmetry,Mesh Node,Soft Phase,4,8544,ipfs://CLASSIC_IMAGE_CID/28.svg,
29,Chladni Node #29,910,6,8,1533,93,3,Epic,Diamond Grid,Dense Bridge Diamond Grid,Prism Bloom,Dense Signal,Bridge Symmetry,Mesh Node,Soft Phase,4,16821,ipfs://CLASSIC_IMAGE_CID/29.svg,
30,Chladni Node #30,223,4,5,1061,136,2,Rare,Radial Bloom,Central Mirror Radial Bloom,Prism Bloom,Lower Mid Field,Near Mirror,Branch Node,Low Drift,3,8471,ipfs://CLASSIC_IMAGE_CID/30.svg,
31,Chladni Node #31,622,5,7,1302,113,3,Epic,Bridge Mesh,Signal Bridge Bridge Mesh,Amber Dune,Upper Harmonic,Bridge Symmetry,Mesh Node,Harmonic Bend,4,13896,ipfs://CLASSIC_IMAGE_CID/31.svg,
32,Chladni Node #32,101,2,3,796,140,2,Rare,Bass Cross,Deep Mirror Bass Cross,Emerald Field,Low Harmonic,Near Mirror,Low Ring,Low Drift,2,6112,ipfs://CLASSIC_IMAGE_CID/32.svg,
33,Chladni Node #33,341,4,6,1141,125,3,Epic,Petal Grid,Resonant Bridge Petal Grid,Violet Prism,Mid Resonance,Bridge Symmetry,Branch Node,Low Drift,3,11422,ipfs://CLASSIC_IMAGE_CID/33.svg,
34,Chladni Node #34,889,6,8,1526,96,4,Legendary,Diamond Grid,Dense Bridge Diamond Grid,Amber Dune,Dense Signal,Bridge Symmetry,Mesh Node,Prism Distortion,4,21168,ipfs://CLASSIC_IMAGE_CID/34.svg,
35,Chladni Node #35,359,4,6,1091,127,2,Rare,Petal Grid,Resonant Bridge Petal Grid,Obsidian Gold,Mid Resonance,Bridge Symmetry,Branch Node,Harmonic Bend,3,9148,ipfs://CLASSIC_IMAGE_CID/35.svg,
36,Chladni Node #36,713,6,7,1426,107,1,Uncommon,Circle Lattice,Signal Mirror Circle Lattice,Signal Honey,Upper Harmonic,Near Mirror,Mesh Node,Signal Warp,4,10800,ipfs://CLASSIC_IMAGE_CID/36.svg,
37,Chladni Node #37,440,5,6,1175,124,3,Epic,Loop Lattice,Orbital Mirror Loop Lattice,Electric Wine,Mid Resonance,Near Mirror,Branch Node,Signal Warp,4,12528,ipfs://CLASSIC_IMAGE_CID/37.svg,
38,Chladni Node #38,216,3,4,912,134,0,Common,Radial Bloom,Central Mirror Radial Bloom,Sacred Mesh,Lower Mid Field,Near Mirror,Open Node,Soft Phase,3,5504,ipfs://CLASSIC_IMAGE_CID/38.svg,
39,Chladni Node #39,338,4,6,1102,129,0,Common,Petal Grid,Resonant Bridge Petal Grid,Cerulean Archive,Mid Resonance,Bridge Symmetry,Branch Node,Low Drift,3,6814,ipfs://CLASSIC_IMAGE_CID/39.svg,
40,Chladni Node #40,297,4,5,1020,133,1,Uncommon,Petal Grid,Resonant Mirror Petal Grid,Signal Honey,Lower Mid Field,Near Mirror,Branch Node,Low Drift,3,7412,ipfs://CLASSIC_IMAGE_CID/40.svg,
41,Chladni Node #41,732,6,7,1411,104,1,Uncommon,Circle Lattice,Signal Mirror Circle Lattice,Void Ember,High Signal,Near Mirror,Mesh Node,Soft Phase,4,10857,ipfs://CLASSIC_IMAGE_CID/41.svg,
42,Chladni Node #42,906,6,8,1527,95,2,Rare,Diamond Grid,Dense Bridge Diamond Grid,Signal Honey,Dense Signal,Bridge Symmetry,Mesh Node,Soft Phase,4,13744,ipfs://CLASSIC_IMAGE_CID/42.svg,
43,Chladni Node #43,324,4,6,1086,126,3,Epic,Petal Grid,Resonant Bridge Petal Grid,Violet Prism,Mid Resonance,Bridge Symmetry,Branch Node,Low Drift,3,11154,ipfs://CLASSIC_IMAGE_CID/43.svg,
44,Chladni Node #44,145,3,4,886,140,2,Rare,Bass Cross,Central Mirror Bass Cross,Obsidian Gold,Low Harmonic,Near Mirror,Open Node,Harmonic Bend,3,7071,ipfs://CLASSIC_IMAGE_CID/44.svg,
45,Chladni Node #45,854,6,8,1555,99,1,Uncommon,Diamond Grid,Dense Bridge Diamond Grid,Void Ember,High Signal,Bridge Symmetry,Mesh Node,Low Drift,4,11698,ipfs://CLASSIC_IMAGE_CID/45.svg,
46,Chladni Node #46,351,4,6,1089,126,2,Rare,Petal Grid,Resonant Bridge Petal Grid,Electric Wine,Mid Resonance,Bridge Symmetry,Branch Node,Signal Warp,3,9138,ipfs://CLASSIC_IMAGE_CID/46.svg,
47,Chladni Node #47,709,6,7,1419,108,1,Uncommon,Circle Lattice,Signal Mirror Circle Lattice,Pearl Sand,Upper Harmonic,Near Mirror,Mesh Node,Prism Distortion,4,10778,ipfs://CLASSIC_IMAGE_CID/47.svg,
48,Chladni Node #48,127,2,3,786,140,2,Rare,Bass Cross,Central Mirror Bass Cross,Solar Ember,Low Harmonic,Near Mirror,Open Node,Low Drift,2,6207,ipfs://CLASSIC_IMAGE_CID/48.svg,
49,Chladni Node #49,715,6,7,1431,104,1,Uncommon,Circle Lattice,Signal Mirror Circle Lattice,Sacred Mesh,Upper Harmonic,Near Mirror,Mesh Node,Harmonic Bend,4,10811,ipfs://CLASSIC_IMAGE_CID/49.svg,
50,Chladni Node #50,369,4,6,1121,127,5,Mythic,Petal Grid,Resonant Bridge Petal Grid,Signal Honey,Mid Resonance,Bridge Symmetry,Branch Node,Soft Phase,3,19507,ipfs://CLASSIC_IMAGE_CID/50.svg,
