tokenId,name,frequency,waveNumberK,modeN,modeM,nodeDensityBps,lineThicknessBps,rarityTier,rarityName,family,patternName,frequencyBand,symmetryType,nodeArchitecture,waveDistortion,harmonicLayerCount,hashratePreview,image,animation_url
1,Chladni Node #1,980,22.89,13,14,2800,105,2,Rare,Fine Web,K91 Fine Web,Dense Signal,Near Mirror,Dense Node,Soft Phase,6,30181,ipfs://SCIENTIFIC_IMAGE_CID/1.svg,
2,Chladni Node #2,446,13.01,5,12,1854,116,3,Epic,Ring Square,K41 Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,20946,ipfs://SCIENTIFIC_IMAGE_CID/2.svg,
3,Chladni Node #3,668,17.04,11,13,2800,111,2,Rare,Bridge Lattice,K62 Bridge Lattice,Upper Harmonic,Bridge Symmetry,Dense Node,Soft Phase,6,26158,ipfs://SCIENTIFIC_IMAGE_CID/3.svg,
4,Chladni Node #4,287,10.14,6,8,1539,119,5,Mythic,Bridge Lattice,K26 Bridge Lattice,Lower Mid Field,Bridge Symmetry,Mesh Node,Low Drift,4,28229,ipfs://SCIENTIFIC_IMAGE_CID/4.svg,
5,Chladni Node #5,92,6.49,4,5,857,123,0,Common,Mirror Cell,K8 Mirror Cell,Sub Resonance,Near Mirror,Low Ring Node,Low Drift,3,5916,ipfs://SCIENTIFIC_IMAGE_CID/5.svg,
6,Chladni Node #6,667,17.03,11,13,2800,111,4,Legendary,Bridge Lattice,K62 Bridge Lattice,Upper Harmonic,Bridge Symmetry,Dense Node,Soft Phase,6,40689,ipfs://SCIENTIFIC_IMAGE_CID/6.svg,
7,Chladni Node #7,606,15.88,9,13,2800,113,4,Legendary,Nested Grid,K56 Nested Grid,Upper Harmonic,Lattice Symmetry,Dense Node,Low Drift,6,37993,ipfs://SCIENTIFIC_IMAGE_CID/7.svg,
8,Chladni Node #8,155,7.84,5,6,1101,121,1,Uncommon,Mirror Cell,K14 Mirror Cell,Low Harmonic,Near Mirror,Bridge Node,Low Drift,3,8631,ipfs://SCIENTIFIC_IMAGE_CID/8.svg,
9,Chladni Node #9,315,10.72,7,8,1725,118,2,Rare,Mirror Mesh,K29 Mirror Mesh,Lower Mid Field,Near Mirror,Mesh Node,Low Drift,4,15196,ipfs://SCIENTIFIC_IMAGE_CID/9.svg,
10,Chladni Node #10,330,10.94,4,10,1377,118,2,Rare,Ring Square,K30 Ring Square,Mid Resonance,Drift Symmetry,Bridge Node,Low Drift,4,13230,ipfs://SCIENTIFIC_IMAGE_CID/10.svg,
11,Chladni Node #11,321,10.75,7,8,1726,118,2,Rare,Mirror Mesh,K29 Mirror Mesh,Mid Resonance,Near Mirror,Mesh Node,Low Drift,4,15206,ipfs://SCIENTIFIC_IMAGE_CID/11.svg,
12,Chladni Node #12,506,14.33,9,11,2736,114,0,Common,Bridge Lattice,K47 Bridge Lattice,Mid Resonance,Bridge Symmetry,Lattice Node,Low Drift,5,16806,ipfs://SCIENTIFIC_IMAGE_CID/12.svg,
13,Chladni Node #13,142,7.43,2,7,742,122,0,Common,Fundamental Cross,K12 Fundamental Cross,Low Harmonic,Drift Symmetry,Open Node,Low Drift,3,5622,ipfs://SCIENTIFIC_IMAGE_CID/13.svg,
14,Chladni Node #14,999,23.85,13,14,2800,104,3,Epic,Fine Web,K93 Fine Web,Dense Signal,Near Mirror,Dense Node,Soft Phase,6,37075,ipfs://SCIENTIFIC_IMAGE_CID/14.svg,
15,Chladni Node #15,466,13.52,6,12,2127,115,2,Rare,Ring Square,K43 Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,18809,ipfs://SCIENTIFIC_IMAGE_CID/15.svg,
16,Chladni Node #16,440,12.97,8,10,2293,116,4,Legendary,Bridge Lattice,K40 Bridge Lattice,Mid Resonance,Bridge Symmetry,Lattice Node,Low Drift,5,30149,ipfs://SCIENTIFIC_IMAGE_CID/16.svg,
17,Chladni Node #17,899,21.45,13,14,2800,106,2,Rare,Fine Web,K84 Fine Web,Dense Signal,Near Mirror,Dense Node,Soft Phase,6,29681,ipfs://SCIENTIFIC_IMAGE_CID/17.svg,
18,Chladni Node #18,219,9.11,4,8,1168,120,2,Rare,Ring Square,K20 Ring Square,Lower Mid Field,Lattice Symmetry,Bridge Node,Low Drift,4,10795,ipfs://SCIENTIFIC_IMAGE_CID/18.svg,
19,Chladni Node #19,57,5.48,2,5,619,124,1,Uncommon,Fundamental Cross,K4 Fundamental Cross,Sub Resonance,Lattice Symmetry,Low Ring Node,Low Drift,2,5143,ipfs://SCIENTIFIC_IMAGE_CID/19.svg,
