tokenId,name,frequency,waveNumberK,modeN,modeM,colorway,nodeDensityBps,lineThicknessBps,rarityTier,rarityName,family,patternName,frequencyBand,symmetryType,nodeArchitecture,waveDistortion,harmonicLayerCount,hashratePreview,image,animation_url
1,Chladni Node #1,888,21.293,14,16,Violet Resonance,2800,107,2,Rare,Bridge Lattice,Dense Bridge Bridge Lattice,Dense Signal,Bridge Symmetry,Dense Node,Soft Phase,6,31750,ipfs://SCIENTIFIC_IMAGE_CID/1.svg,
2,Chladni Node #2,995,24.038,13,20,Violet Resonance,2800,104,5,Mythic,Fine Web,Dense Drift Fine Web,Dense Signal,Drift Symmetry,Dense Node,Harmonic Bend,6,72332,ipfs://SCIENTIFIC_IMAGE_CID/2.svg,
3,Chladni Node #3,891,21.289,14,16,Violet Resonance,2800,107,1,Uncommon,Bridge Lattice,Dense Bridge Bridge Lattice,Dense Signal,Bridge Symmetry,Dense Node,Soft Phase,6,27046,ipfs://SCIENTIFIC_IMAGE_CID/3.svg,
4,Chladni Node #4,64,5.967,3,5,Amber Sand,737,123,2,Rare,Bridge Lattice,Fundamental Bridge Bridge Lattice,Sub Resonance,Bridge Symmetry,Low Ring Node,Low Drift,3,6835,ipfs://SCIENTIFIC_IMAGE_CID/4.svg,
5,Chladni Node #5,736,18.554,9,16,Violet Resonance,2800,110,0,Common,Signal Lattice,Dense Drift Signal Lattice,High Signal,Drift Symmetry,Dense Node,Soft Phase,6,20146,ipfs://SCIENTIFIC_IMAGE_CID/5.svg,
6,Chladni Node #6,536,14.535,8,12,Amber Sand,2674,114,5,Mythic,Nested Grid,Harmonic Lattice Nested Grid,Upper Harmonic,Lattice Symmetry,Lattice Node,Low Drift,5,46519,ipfs://SCIENTIFIC_IMAGE_CID/6.svg,
7,Chladni Node #7,884,21.272,11,18,Amber Sand,2800,107,2,Rare,Fine Web,Dense Drift Fine Web,Dense Signal,Drift Symmetry,Dense Node,Soft Phase,6,30816,ipfs://SCIENTIFIC_IMAGE_CID/7.svg,
8,Chladni Node #8,955,22.656,12,19,Violet Resonance,2800,105,3,Epic,Fine Web,Dense Drift Fine Web,Dense Signal,Drift Symmetry,Dense Node,Soft Phase,6,40076,ipfs://SCIENTIFIC_IMAGE_CID/8.svg,
9,Chladni Node #9,580,15.77,10,12,Violet Resonance,2800,113,1,Uncommon,Bridge Lattice,Harmonic Bridge Bridge Lattice,Upper Harmonic,Bridge Symmetry,Dense Node,Low Drift,6,20939,ipfs://SCIENTIFIC_IMAGE_CID/9.svg,
10,Chladni Node #10,323,10.773,7,8,Violet Resonance,1726,118,2,Rare,Mirror Mesh,Structured Mirror Mirror Mesh,Mid Resonance,Near Mirror,Mesh Node,Low Drift,4,15210,ipfs://SCIENTIFIC_IMAGE_CID/10.svg,
11,Chladni Node #11,450,13.05,5,12,Violet Resonance,1855,116,4,Legendary,Ring Square,Structured Drift Ring Square,Mid Resonance,Drift Symmetry,Mesh Node,Low Drift,5,26676,ipfs://SCIENTIFIC_IMAGE_CID/11.svg,
12,Chladni Node #12,928,21.977,15,16,Violet Resonance,2800,106,2,Rare,Mirror Mesh,Dense Mirror Mirror Mesh,Dense Signal,Near Mirror,Dense Node,Soft Phase,6,33033,ipfs://SCIENTIFIC_IMAGE_CID/12.svg,
